accueil; welcome
accueillant; hospitable, friendly, gracious
accueillir; to welcome, to host
ami(e); friend
amical; friendly, warm
amicalement; in a friendly way
amitié; friendship
anniversaire (personne); birthday, anniversary
annulation; cancellation
annuler; to cancel
assister à; to attend
banquet; banquet
baptème; baptism, christening
bien élevé(e); well-bred, well-behaved
bienséance; propriety, breeding
souhaiter la bienvenue; to welcome
bouquet; bunch of flowers
cadeau; gift
cancan; gossip
carte de visite; visiting card, business card
casse-pied; bore, pain in the neck
célébration; celebration
cercueil; coffin
cérémonie; ceremony
cérémonieux; formal
chalereux; warm
comportement; behaviour
se comporter; to behave
condoléances; condolences
se conduire; to behave, to conduct oneself
conduite; conduct, behaviour
conversation; conversation
converser; to talk
décoration; medal, order, award
déjeuner d'affaires; business lunch
dérangement; disturbance, inconvenience
déranger; to disturb, to inconvenience, to intrude
discous; speech, address
distinction; distinction
distingué; distinguished
entretien; interview, conversation
entrevue; interview
excuse; apology
s'excuser; to apologize
